NOMBRE;WIFI;TIPO;LATITUD;LONGITUD
El Pueblito;SI;Atractivos Turísticos;-17.37478005;-66.14189904
Pasaje Recoleta;SI;Plazas y Plazuelas;-17.37849578;-66.15040768
Plaza Hernando Siles;No;Plazas y Plazuelas;-17.36745007;-66.1604597
Plaza 4 de noviembre;No;Plazas y Plazuelas;-17.37281876;-66.15682241
Parque Marcelo Illanes Ledezma;No;Parques;-17.37016094;-66.15899537
Parque Fidel Anze;No;Parques;-17.37062175;-66.15250517
Av. Gualberto Villarroel;No;Area verde;-17.36995714;-66.15900713
Pasarela Ciclovia;No;Atractivos Turísticos;-17.36883691;-66.15897227
"Museo de Historia Natural ""Alcide d'Arguedas""";No;Espacios Culturales;-17.37381134;-66.15358878
"Centro Cultural ""Simón I. Patiño""";No;Espacios Culturales;-17.37468168;-66.15299869
Paseo Portales;No;Atractivos Turísticos;-17.37534212;-66.1513089
Parque Queru Queru;No;Parques;-17.37477895;-66.15954328
Plaza Ubaldo Anze (Recoleta);No;Plazas y Plazuelas;-17.37831148;-66.15207601
Parque Oblitas;No;Parques;-17.3806511;-66.158862
Plaza de las Banderas;No;Plazas y Plazuelas;-17.38078421;-66.16024602
Plaza Portales;No;Plazas y Plazuelas;-17.37542584;-66.15226325
